year,amount_real_expenditure,amount_real_income,amount_sum_expenditure,amount_sum_income,n_entries_expenditure,n_entries_income,total_entries,income_share,net_amount,net_amount_real,era
1700,1107.4725892857143,1708.0724851190478,1107.4725892857143,1708.0724851190478,171.05714285714285,167.68571428571428,338.74285714285713,0.4950236167341431,600.5998958333334,600.5998958333334,pre_1760
1701,440.88091324005933,107.24443072536377,442.5121726190476,107.64123511904762,92.05714285714286,11.685714285714285,103.74285714285715,0.11264114568989259,-334.87093749999997,-333.63648251469556,pre_1760
1702,787.7949896953025,1254.5947340868054,793.6246726190476,1263.8787351190476,83.05714285714286,113.68571428571428,196.74285714285713,0.5778390938135347,470.25406250000003,466.7997443915028,pre_1760
1703,982.6011333719524,1307.7636008166496,993.5080059523809,1322.2797767857144,73.05714285714286,105.68571428571428,178.74285714285713,0.5912723785166241,328.77177083333345,325.1624674446972,pre_1760
1704,225.6404029881562,627.0853716190851,228.97988095238097,636.3662351190476,87.05714285714286,103.68571428571428,190.74285714285713,0.5435889754343919,407.3863541666666,401.4449686309289,pre_1760
1705,503.13337190546326,871.2164393248709,512.4413392857143,887.3339434523809,91.05714285714286,110.68571428571428,201.74285714285713,0.5486475003540575,374.8926041666666,368.0830674194076,pre_1760
1706,253.61626650268795,756.8363432978357,259.24654761904765,773.6381101190476,20.057142857142857,104.68571428571428,124.74285714285713,0.8392120934493816,514.3915625,503.22007679514775,pre_1760
1707,249.61587154600608,1065.337534638575,256.0809226190476,1092.9297767857142,70.05714285714286,103.68571428571428,173.74285714285713,0.5967768459135011,836.8488541666666,815.7216630925691,pre_1760
1708,184.52623765123764,974.438481079106,189.9882142857143,1003.2818601190476,70.05714285714286,98.68571428571428,168.74285714285713,0.5848289874703692,813.2936458333332,789.9122434278684,pre_1760
1709,331.49727180139456,1588.0024211610514,342.536130952381,1640.8829017857142,66.05714285714286,107.68571428571428,173.74285714285713,0.6197993751027792,1298.3467708333333,1256.5051493596568,pre_1760
1710,707.6921465307435,1159.9401174404188,733.8767559523809,1202.8579017857144,76.05714285714286,107.68571428571428,183.74285714285713,0.5860674856165449,468.98114583333347,452.24797090967536,pre_1760
1711,369.45104158036685,588.0479026861082,382.2340476190476,608.3943601190476,56.05714285714286,78.68571428571428,134.74285714285713,0.583969465648855,226.16031250000003,218.5968611057413,pre_1760
