year,n_entries,n_arrears,amount_arrears,amount_total,arrears_rate,arrears_amount_share,era
1700,355.9142857142857,38.25714285714286,474.7637202380953,4070.8141220238094,0.10748976479088064,0.11662623396866523,pre_1760
1701,174.9142857142857,0.2571428571428572,5.289761904761903,2071.397455357143,0.0014701078079059134,0.002553716521704359,pre_1760
1702,198.9142857142857,31.257142857142856,240.2616369047619,2166.281830357143,0.15713875323182994,0.1109096856825648,pre_1760
1703,183.9142857142857,49.25714285714286,465.86059523809513,2343.0109970238095,0.2678266273108591,0.1988298799407475,pre_1760
1704,191.9142857142857,26.257142857142856,234.80017857142855,902.6547470238096,0.1368170314128331,0.2601218011045758,pre_1760
1705,201.9142857142857,61.25714285714286,527.8158035714287,1404.0609970238095,0.30338191594736097,0.37592085008432025,pre_1760
1706,182.9142857142857,55.25714285714286,512.1480952380953,1257.9162053571429,0.3020930959075289,0.4071400726510937,pre_1760
1707,176.9142857142857,13.257142857142856,342.9033035714285,1375.7964136904761,0.07493540051679586,0.24923985857152714,pre_1760
1708,168.9142857142857,39.25714285714286,581.6251785714286,1197.5557886904762,0.2324086603518268,0.48567689627840555,pre_1760
1709,173.9142857142857,60.25714285714286,645.1960119047618,1987.7047470238094,0.34647609659931,0.324593485461467,pre_1760
1710,185.9142857142857,33.25714285714286,504.58038690476184,1941.0203720238096,0.17888427846934074,0.25995625505911607,pre_1760
1711,201.9142857142857,1.2571428571428571,5.289761904761904,1532.6026636904762,0.006226121409367483,0.003451489436945297,pre_1760
1712,193.9142857142857,31.257142857142856,266.1720535714286,2023.488080357143,0.16119051127154854,0.13154120162864985,pre_1760
1713,190.9142857142857,2.2571428571428567,22.956428571428567,1435.9193303571428,0.011822807542651899,0.015987268982386935,pre_1760
1714,204.9142857142857,10.257142857142856,87.79288690476191,1416.2807886904761,0.05005577244841048,0.061988334238394296,pre_1760
1715,192.9142857142857,36.25714285714286,407.1553869047619,1415.8516220238096,0.18794431279620855,0.2875692484801313,pre_1760
1716,215.9142857142857,65.25714285714287,615.5751785714286,1675.7339136904761,0.30223633717083503,0.3673466136492665,pre_1760
1717,205.9142857142857,63.25714285714286,611.9033035714285,1151.3391220238095,0.30720133203829614,0.531470955747454,pre_1760
1718,192.9142857142857,63.25714285714286,627.9470535714286,1332.2828720238094,0.32790284360189575,0.4713316269070871,pre_1760
1719,175.9142857142857,37.25714285714285,322.1564285714286,1024.694330357143,0.21179145687834983,0.3143927111016077,pre_1760
1720,194.9142857142857,65.25714285714287,674.5241369047619,1320.4818303571428,0.334799179126356,0.5108166741850036,pre_1760
1721,178.9142857142857,50.75714285714285,569.1105952380952,1268.8938095238095,0.2836953050143724,0.44850923770498263,pre_1760
1722,178.9142857142857,50.75714285714285,569.1105952380952,1268.8938095238095,0.2836953050143724,0.44850923770498263,pre_1760
1723,191.9142857142857,67.25714285714287,826.427261904762,1512.6849553571428,0.35045407175822546,0.5463313818108567,pre_1760
1724,175.9142857142857,39.25714285714286,686.4939285714286,1280.5422470238095,0.2231606301770343,0.5360962749701957,pre_1760
1725,145.9142857142857,24.257142857142856,351.2397619047619,921.5089136904762,0.16624241237517134,0.3811572049782029,pre_1760
1726,195.9142857142857,70.25714285714285,745.8053869047619,2194.0172470238094,0.35861163774245297,0.33992685696361274,pre_1760
1727,179.9142857142857,34.25714285714286,235.06997023809527,1279.8287053571428,0.19040813085596317,0.18367299409220375,pre_1760
1728,183.9142857142857,36.25714285714286,207.41788690476193,1519.597455357143,0.19714152555538297,0.13649528444097953,pre_1760
1729,187.9142857142857,24.257142857142856,143.77622023809522,1489.8089136904762,0.12908620951801733,0.0965064840979776,pre_1760
1730,261.9142857142857,96.25714285714287,2227.494970238095,3290.422455357143,0.3675139085851424,0.6769632168694649,pre_1760
1731,167.9142857142857,63.25714285714286,1122.9293452380953,2603.2359970238094,0.37672281776416544,0.431359026427839,pre_1760
1732,142.9142857142857,56.25714285714285,936.8824702380952,1834.5797470238094,0.3936425429828069,0.5106796102802154,pre_1760
1733,166.9142857142857,56.25714285714286,980.9314285714287,2142.8734970238097,0.33704210886682645,0.4577645063667188,pre_1760
1734,178.9142857142857,87.25714285714287,1449.8137202380954,2750.5422470238095,0.4877036090705845,0.5271010550035538,pre_1760
1735,143.9142857142857,57.25714285714285,1046.5616369047618,2059.7016220238097,0.3978558665872543,0.508113226553872,pre_1760
1736,137.9142857142857,61.25714285714285,1106.0043452380949,1936.4016220238095,0.44416822042676607,0.5711647483966504,pre_1760
1737,168.9142857142857,55.25714285714286,898.7220535714287,2423.9026636904764,0.32713125845737484,0.3707748116432584,pre_1760
1738,148.9142857142857,36.25714285714285,592.8439285714286,1603.8568303571428,0.24347659247889483,0.3696364397060401,pre_1760
