year,metric,value,delta,abs_delta_robust_z,is_change_point,era
1700,arrears_amount_share,0.11662623396866523,0.0,-0.7236150793284187,False,pre_1760
1701,arrears_amount_share,0.002553716521704359,-0.11407251744696087,1.0580994457390147,False,pre_1760
1702,arrears_amount_share,0.1109096856825648,0.10835596916086045,0.9688118825068787,False,pre_1760
1703,arrears_amount_share,0.1988298799407475,0.08792019425818269,0.6496226703284153,False,pre_1760
1704,arrears_amount_share,0.2601218011045758,0.061291921163828283,0.23371196710637818,False,pre_1760
1705,arrears_amount_share,0.37592085008432025,0.11579904897974447,1.0850663820247664,False,pre_1760
1706,arrears_amount_share,0.4071400726510937,0.031219222566773452,-0.23599769739068718,False,pre_1760
1707,arrears_amount_share,0.24923985857152714,-0.15790021407956656,1.74265033878712,False,pre_1760
1708,arrears_amount_share,0.48567689627840555,0.2364370377068784,2.9693279167103266,True,pre_1760
1709,arrears_amount_share,0.324593485461467,-0.16108341081693855,1.7923691316222126,False,pre_1760
1710,arrears_amount_share,0.25995625505911607,-0.06463723040235092,0.2859628176575585,False,pre_1760
1711,arrears_amount_share,0.003451489436945297,-0.2565047656221708,3.2827685517730383,True,pre_1760
1712,arrears_amount_share,0.13154120162864985,0.12808971219170456,1.2770359611799136,False,pre_1760
1713,arrears_amount_share,0.015987268982386935,-0.11555393264626292,1.0812378759001566,False,pre_1760
1714,arrears_amount_share,0.061988334238394296,0.04600106525600736,-0.005118039291482291,False,pre_1760
1715,arrears_amount_share,0.2875692484801313,0.22558091424173704,2.799764613500496,True,pre_1760
1716,arrears_amount_share,0.3673466136492665,0.0797773651691352,0.5224386895782466,False,pre_1760
1717,arrears_amount_share,0.531470955747454,0.16412434209818744,1.8398658604995448,False,pre_1760
1718,arrears_amount_share,0.4713316269070871,-0.06013932884036688,0.21570946720409243,False,pre_1760
1719,arrears_amount_share,0.3143927111016077,-0.15693891580547936,1.727635687263717,False,pre_1760
1720,arrears_amount_share,0.5108166741850036,0.19642396308339594,2.3443581356899887,False,pre_1760
1721,arrears_amount_share,0.44850923770498263,-0.06230743648002102,0.24957344215561886,False,pre_1760
