year,payment_period,n_entries,total,share,era
1700,annual,89.47142857142858,222.61428571428573,0.401912340370917,pre_1760
1700,biennial,2.0428571428571427,222.61428571428573,0.009176666880574984,pre_1760
1700,half_year,33.2,222.61428571428573,0.1491368799332606,pre_1760
1700,multi_year,7.0,222.61428571428573,0.031444522877494704,pre_1760
1700,one_off,78.85714285714286,222.61428571428573,0.3542321760893281,pre_1760
1700,quadrennial,3.0142857142857142,222.61428571428573,0.01354039658602323,pre_1760
1700,sesquiannual,8.014285714285714,222.61428571428573,0.03600077006994802,pre_1760
1700,triennial,1.0142857142857142,222.61428571428573,0.004556247192453314,pre_1760
1701,annual,16.47142857142857,71.61428571428571,0.23000199481348493,pre_1760
1701,biennial,1.042857142857143,71.61428571428571,0.014562138440055855,pre_1760
1701,half_year,12.2,71.61428571428571,0.1703570716138041,pre_1760
1701,multi_year,2.0,71.61428571428571,0.027927388789148216,pre_1760
1701,one_off,39.857142857142854,71.61428571428571,0.5565529622980251,pre_1760
1701,quadrennial,0.014285714285714285,71.61428571428571,0.00019948134849391582,pre_1760
1701,sesquiannual,0.014285714285714285,71.61428571428571,0.00019948134849391582,pre_1760
1701,triennial,0.014285714285714285,71.61428571428571,0.00019948134849391582,pre_1760
1702,annual,44.47142857142857,136.61428571428573,0.32552546272090344,pre_1760
1702,biennial,7.042857142857143,136.61428571428573,0.05155285998117745,pre_1760
1702,half_year,29.2,136.61428571428573,0.21374045801526714,pre_1760
1702,multi_year,5.0,136.61428571428573,0.03659939349576492,pre_1760
1702,one_off,48.857142857142854,136.61428571428573,0.35762835930147435,pre_1760
1702,quadrennial,0.014285714285714285,136.61428571428573,0.0001045696957021855,pre_1760
1702,sesquiannual,0.014285714285714285,136.61428571428573,0.0001045696957021855,pre_1760
1702,triennial,2.0142857142857142,136.61428571428573,0.014744327094008155,pre_1760
1703,annual,44.47142857142857,119.61428571428571,0.371790278275409,pre_1760
1703,biennial,5.042857142857143,119.61428571428571,0.04215932162904574,pre_1760
1703,half_year,17.2,119.61428571428571,0.14379553326167444,pre_1760
1703,multi_year,3.0,119.61428571428571,0.025080616266571123,pre_1760
1703,one_off,43.857142857142854,119.61428571428571,0.36665472351606354,pre_1760
1703,quadrennial,2.0142857142857142,119.61428571428571,0.016839842350412037,pre_1760
1703,sesquiannual,2.0142857142857142,119.61428571428571,0.016839842350412037,pre_1760
1703,triennial,2.0142857142857142,119.61428571428571,0.016839842350412037,pre_1760
1704,annual,41.47142857142857,136.61428571428573,0.30356582662344445,pre_1760
1704,biennial,9.042857142857143,136.61428571428573,0.06619261737948341,pre_1760
1704,half_year,16.2,136.61428571428573,0.11858203492627835,pre_1760
1704,multi_year,1.0,136.61428571428573,0.007319878699152985,pre_1760
1704,one_off,60.857142857142854,136.61428571428573,0.4454669036913102,pre_1760
1704,quadrennial,1.0142857142857142,136.61428571428573,0.0074244483948551696,pre_1760
1704,sesquiannual,2.0142857142857142,136.61428571428573,0.014744327094008155,pre_1760
1704,triennial,5.014285714285714,136.61428571428573,0.03670396319146711,pre_1760
1705,annual,41.47142857142857,134.61428571428573,0.30807598429374927,pre_1760
1705,biennial,9.042857142857143,134.61428571428573,0.06717605858007003,pre_1760
1705,half_year,23.2,134.61428571428573,0.17234426403480843,pre_1760
1705,multi_year,4.0,134.61428571428573,0.029714528281863523,pre_1760
1705,one_off,48.857142857142854,134.61428571428573,0.36294173829990445,pre_1760
1705,quadrennial,1.0142857142857142,134.61428571428573,0.00753475538575825,pre_1760
1705,sesquiannual,1.0142857142857142,134.61428571428573,0.00753475538575825,pre_1760
1705,triennial,6.014285714285714,134.61428571428573,0.04467791573808765,pre_1760
1706,annual,44.47142857142857,96.61428571428571,0.4602986840159692,pre_1760
1706,biennial,7.042857142857143,96.61428571428571,0.0728966435014047,pre_1760
1706,half_year,16.2,96.61428571428571,0.16767706639065502,pre_1760
1706,multi_year,5.0,96.61428571428571,0.05175218098477007,pre_1760
1706,one_off,13.857142857142858,96.61428571428571,0.14342747301493422,pre_1760
1706,quadrennial,3.0142857142857142,96.61428571428571,0.031199171965104244,pre_1760
1706,quinquennial,1.0,96.61428571428571,0.010350436196954015,pre_1760
1706,sesquiannual,4.014285714285714,96.61428571428571,0.04154960816205826,pre_1760
1706,triennial,2.0142857142857142,96.61428571428571,0.020848735768150228,pre_1760
1707,annual,38.47142857142857,122.61428571428571,0.31375975766049163,pre_1760
1707,biennial,10.042857142857143,122.61428571428571,0.08190609344052197,pre_1760
1707,half_year,18.2,122.61428571428571,0.14843294885238262,pre_1760
1707,multi_year,1.0,122.61428571428571,0.008155656530350693,pre_1760
1707,one_off,35.857142857142854,122.61428571428571,0.29243854130257485,pre_1760
1707,quadrennial,2.0142857142857142,122.61428571428571,0.016427822439706394,pre_1760
1707,quinquennial,3.0,122.61428571428571,0.02446696959105208,pre_1760
1707,sesquiannual,11.014285714285714,122.61428571428571,0.08982873121286264,pre_1760
1707,triennial,3.0142857142857142,122.61428571428571,0.02458347897005709,pre_1760
1708,annual,39.47142857142857,144.61428571428573,0.272942803516744,pre_1760
1708,biennial,8.042857142857143,144.61428571428573,0.0556159241331621,pre_1760
1708,half_year,14.2,144.61428571428573,0.09819223550330929,pre_1760
1708,multi_year,3.0,144.61428571428573,0.02074483848661464,pre_1760
1708,one_off,66.85714285714286,144.61428571428573,0.4623135434159834,pre_1760
1708,quadrennial,1.0142857142857142,144.61428571428573,0.0070137311073792345,pre_1760
1708,quinquennial,1.0,144.61428571428573,0.00691494616220488,pre_1760
1708,sesquiannual,8.014285714285714,144.61428571428573,0.05541835424281339,pre_1760
1708,triennial,3.0142857142857142,144.61428571428573,0.020843623431788992,pre_1760
1709,annual,43.47142857142857,117.61428571428571,0.3696101056722944,pre_1760
1709,biennial,8.042857142857143,117.61428571428571,0.06838333535770678,pre_1760
1709,half_year,17.2,117.61428571428571,0.1462407384914369,pre_1760
1709,multi_year,7.0,117.61428571428571,0.05951657961860804,pre_1760
1709,one_off,31.857142857142858,117.61428571428571,0.27086116846835906,pre_1760
1709,quadrennial,2.0142857142857142,117.61428571428571,0.017126199441272926,pre_1760
1709,sesquiannual,3.0142857142857142,117.61428571428571,0.02562856795821693,pre_1760
1709,triennial,5.014285714285714,117.61428571428571,0.042633304992104944,pre_1760
1710,annual,59.47142857142857,139.61428571428573,0.42596950782768844,pre_1760
1710,biennial,7.042857142857143,139.61428571428573,0.05044510385756676,pre_1760
1710,half_year,10.2,139.61428571428573,0.07305842627647599,pre_1760
1710,multi_year,3.0,139.61428571428573,0.021487772434257646,pre_1760
1710,one_off,47.857142857142854,139.61428571428573,0.34278113168934815,pre_1760
1710,quadrennial,4.014285714285714,139.61428571428573,0.028752685971554278,pre_1760
1710,quinquennial,3.0,139.61428571428573,0.021487772434257646,pre_1760
1710,sesquiannual,1.0142857142857142,139.61428571428573,0.007264913537296632,pre_1760
1710,triennial,4.014285714285714,139.61428571428573,0.028752685971554278,pre_1760
1711,annual,31.47142857142857,71.61428571428571,0.43945741073209654,pre_1760
1711,biennial,4.042857142857143,71.61428571428571,0.05645322162377817,pre_1760
1711,half_year,2.2,71.61428571428571,0.03072012766806304,pre_1760
1711,multi_year,1.0,71.61428571428571,0.013963694394574108,pre_1760
1711,one_off,24.857142857142858,71.61428571428571,0.34709754637941354,pre_1760
1711,quadrennial,3.0142857142857142,71.61428571428571,0.04209056453221624,pre_1760
1711,quinquennial,2.0,71.61428571428571,0.027927388789148216,pre_1760
1711,sesquiannual,2.0142857142857142,71.61428571428571,0.02812687013764213,pre_1760
1711,triennial,1.0142857142857142,71.61428571428571,0.014163175743068022,pre_1760
1712,annual,15.471428571428572,33.614285714285714,0.4602634934126647,pre_1760
1712,biennial,4.042857142857143,33.614285714285714,0.12027199320017,pre_1760
1712,half_year,3.2,33.614285714285714,0.09519762005949851,pre_1760
1712,multi_year,1.0,33.614285714285714,0.029749256268593285,pre_1760
1712,one_off,7.857142857142857,33.614285714285714,0.23374415639609009,pre_1760
1712,quadrennial,0.014285714285714285,33.614285714285714,0.00042498937526561835,pre_1760
1712,quinquennial,1.0,33.614285714285714,0.029749256268593285,pre_1760
1712,sesquiannual,0.014285714285714285,33.614285714285714,0.00042498937526561835,pre_1760
1712,triennial,1.0142857142857142,33.614285714285714,0.030174245643858903,pre_1760
1713,annual,15.471428571428572,44.614285714285714,0.3467819404418828,pre_1760
1713,biennial,0.04285714285714286,44.614285714285714,0.0009606147934678194,pre_1760
1713,half_year,6.2,44.614285714285714,0.13896894012167788,pre_1760
1713,one_off,20.857142857142858,44.614285714285714,0.4674991994876721,pre_1760
1713,quadrennial,0.014285714285714285,44.614285714285714,0.0003202049311559398,pre_1760
1713,sesquiannual,0.014285714285714285,44.614285714285714,0.0003202049311559398,pre_1760
1713,triennial,2.0142857142857142,44.614285714285714,0.04514889529298751,pre_1760
1714,annual,6.4714285714285715,24.614285714285714,0.2629135229251306,pre_1760
1714,biennial,1.042857142857143,24.614285714285714,0.04236796285548462,pre_1760
1714,half_year,0.19999999999999998,24.614285714285714,0.00812536273940801,pre_1760
1714,one_off,13.857142857142858,24.614285714285714,0.5629715612304121,pre_1760
